 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125
Time(s)/Cell Status, rejected, accepted, rejected, accepted, accepted, accepted, rejected, accepted, accepted, accepted, accepted, rejected, rejected, accepted, accepted, accepted, rejected, accepted, accepted, rejected, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, rejected, accepted, rejected, rejected, accepted, accepted, accepted, rejected, accepted, accepted, accepted, accepted, accepted, accepted, accepted, rejected, rejected, rejected, accepted, accepted, accepted, accepted, accepted, rejected, accepted, accepted, rejected, accepted, rejected, accepted, accepted, accepted, accepted, rejected, rejected, accepted, accepted, rejected, rejected, accepted, accepted, rejected, accepted, rejected, accepted, rejected, rejected, accepted, accepted, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, accepted, rejected, rejected, rejected, rejected, accepted, rejected, rejected, accepted, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, rejected, accepted, rejected, rejected
0, 42.24686, 42.17833, 42.48984, 42.24922, 43.50002, 42.44845, 42.03908, 43.43903, 43.4265, 42.2466, 42.8877, 43.21019, 42.45869, 42.39491, 42.25841, 43.03107, 42.67608, 42.53048, 42.81453, 41.78324, 42.34692, 42.78819, 43.68668, 42.1944, 42.12234, 42.86124, 42.49112, 42.55023, 42.25848, 43.01591, 42.73697, 42.97908, 42.19196, 42.65209, 42.79103, 42.33031, 43.08384, 42.22057, 42.45569, 42.46355, 42.98101, 42.51928, 42.74126, 42.81202, 42.44423, 42.7876, 42.43996, 42.08604, 42.4379, 42.05775, 42.24657, 42.36308, 43.04012, 42.48898, 42.4762, 42.29961, 42.45197, 42.54175, 42.97626, 42.56813, 42.59188, 43.73471, 42.81474, 42.26458, 42.64079, 42.44285, 42.3312, 42.6682, 42.49882, 42.33959, 42.78069, 42.77328, 42.99095, 42.41564, 42.66416, 42.49485, 42.78251, 42.41472, 42.38428, 42.49542, 42.23886, 42.57929, 42.29682, 43.01982, 42.37135, 42.80059, 42.33794, 42.28069, 42.24723, 42.31171, 42.48001, 42.21347, 42.39177, 42.31691, 42.37083, 42.31993, 42.47157, 42.46143, 42.59713, 42.37313, 42.25293, 42.37979, 42.46904, 42.35596, 42.3963, 41.93778, 42.20254, 42.32761, 42.48607, 42.29373, 42.17716, 42.41753, 42.36448, 42.45804, 42.38, 42.64579, 42.37384, 42.15968, 42.38263, 42.50917, 42.42994, 42.4849, 42.4705, 42.37363, 42.52198, 42.29337
0.05, 42.22587, 42.26886, 42.384, 42.33457, 42.98701, 42.32454, 42.0395, 43.38021, 42.88895, 42.18328, 42.84082, 42.9836, 42.05743, 42.3828, 44.91523, 42.80614, 42.49041, 42.68875, 42.83632, 41.84012, 42.44286, 42.67806, 43.22599, 42.26342, 42.16933, 42.92516, 42.5457, 43.14178, 42.52989, 43.10665, 42.73489, 42.88612, 42.24232, 42.55457, 43.07178, 42.39191, 42.57214, 42.31071, 42.33291, 42.36234, 42.91039, 42.31046, 42.6991, 42.75204, 42.2758, 42.51305, 42.48485, 42.28804, 42.51438, 42.09424, 42.47881, 43.79735, 42.93009, 42.4894, 42.36939, 42.42995, 42.5767, 42.38197, 42.64138, 42.51939, 42.4017, 43.19865, 42.66087, 42.44103, 43.08955, 42.44146, 42.28224, 42.58842, 42.59945, 42.32427, 42.94165, 42.62167, 42.6971, 42.30928, 42.45298, 42.23569, 42.50893, 42.44353, 42.45079, 42.30557, 42.41953, 42.39513, 42.31284, 42.51186, 42.17338, 43.04416, 42.27831, 42.45277, 42.26475, 42.45597, 42.41935, 42.28925, 42.3658, 42.20745, 42.43385, 42.37991, 42.46196, 42.37406, 42.49104, 42.25556, 42.45549, 42.28885, 42.45365, 42.44597, 42.72783, 42.38554, 42.21022, 42.29097, 42.60678, 42.32621, 42.29275, 42.44385, 42.34992, 42.42109, 42.5807, 42.73531, 42.58716, 42.26667, 42.32315, 42.42989, 42.42316, 42.47585, 42.25359, 42.38742, 42.50546, 42.28387
0.1, 42.30298, 42.13139, 42.54149, 42.2693, 42.85439, 42.36318, 42.27969, 43.36137, 42.6583, 42.37232, 45.12571, 42.73845, 42.15911, 42.37462, 42.19188, 42.93391, 42.47344, 42.52678, 44.06898, 41.80846, 42.28374, 42.51659, 42.70134, 42.19102, 42.02158, 42.68141, 42.51186, 42.17253, 42.42159, 42.96273, 42.70744, 43.16224, 42.33648, 42.41156, 42.39987, 42.38602, 42.09873, 42.26605, 42.19912, 42.39136, 42.6103, 42.49958, 42.68446, 43.60085, 43.13055, 42.65031, 42.37337, 42.20502, 42.43002, 42.10996, 42.2596, 42.55482, 43.04696, 42.42235, 42.39351, 42.24359, 42.31473, 43.03785, 42.66578, 42.56606, 42.3091, 42.71747, 43.34089, 42.246, 42.4278, 42.48809, 42.34504, 42.72314, 42.71817, 42.35556, 42.63459, 43.34158, 42.96675, 42.26932, 42.32679, 42.41417, 43.16824, 42.54531, 42.73029, 42.38532, 42.46027, 42.69897, 42.3709, 42.35418, 42.39805, 42.59986, 42.41052, 42.36354, 42.30479, 42.60002, 42.54017, 42.38911, 42.22286, 42.35328, 42.35393, 42.68734, 42.38514, 42.2145, 42.61198, 42.37871, 42.48905, 42.49075, 42.38451, 42.32641, 42.40783, 42.00064, 42.09731, 42.32784, 42.37562, 42.34852, 42.27819, 42.32634, 42.34017, 42.61938, 42.43424, 42.57963, 42.57688, 42.21495, 42.28374, 42.60176, 42.30658, 42.44343, 42.29798, 42.47154, 42.43058, 42.26871
0.15, 42.28528, 42.10149, 42.5358, 42.24854, 42.83987, 42.3465, 42.22, 43.30206, 42.60059, 42.34857, 45.00988, 42.74541, 42.11557, 42.35847, 42.12971, 42.92709, 42.4219, 42.47623, 43.92722, 41.81348, 42.25861, 42.52852, 42.63808, 42.17098, 42.02594, 42.70763, 42.54604, 42.13647, 42.32459, 42.99393, 42.70225, 43.16233, 42.31893, 42.39783, 42.40951, 42.38006, 42.1484, 42.24527, 42.17246, 42.43138, 42.58402, 42.45761, 42.70014, 43.46782, 43.10877, 42.59483, 42.36604, 42.21075, 42.4749, 42.05252, 42.22905, 42.49717, 42.87396, 42.42378, 42.37669, 42.2966, 42.34707, 42.95935, 42.61445, 42.49075, 42.25168, 42.63108, 43.45113, 42.2186, 42.41438, 42.38065, 42.33894, 42.63908, 42.65806, 42.3362, 42.62409, 43.26337, 42.7841, 42.32107, 42.35561, 42.44611, 43.20373, 42.5669, 42.7923, 42.2865, 42.45207, 42.68676, 42.35617, 42.52805, 42.33991, 42.57997, 42.35937, 42.44267, 42.26308, 42.54881, 42.52205, 42.33612, 42.1308, 42.24551, 42.40403, 42.59479, 42.33546, 42.1581, 42.54501, 42.41483, 42.50619, 42.36984, 42.38102, 42.35662, 42.45786, 42.03102, 41.99373, 42.17874, 42.38233, 42.26987, 42.27077, 42.41582, 42.36347, 42.46892, 42.44633, 42.63272, 42.47404, 42.29398, 42.32244, 42.64375, 42.37717, 42.43684, 42.22736, 42.47906, 42.35682, 42.27209
0.2, 42.27085, 42.17186, 42.47876, 42.28518, 42.80349, 42.36864, 42.20251, 43.35618, 42.60133, 42.34523, 44.85357, 42.7382, 42.15396, 42.37095, 42.10362, 42.91479, 42.52337, 42.50206, 43.8861, 41.79143, 42.3136, 42.50628, 42.70625, 42.21794, 42.06532, 42.68521, 42.52491, 42.17029, 42.27159, 42.95476, 42.73731, 43.2504, 42.2858, 42.37233, 42.4173, 42.35556, 42.18885, 42.19973, 42.20105, 42.39582, 42.57513, 42.40221, 42.60928, 43.45599, 42.96855, 42.62486, 42.34924, 42.2731, 42.44788, 42.1535, 42.28595, 42.46923, 42.73418, 42.40243, 42.39124, 42.33961, 42.36521, 42.9636, 42.65862, 42.49113, 42.31825, 42.62485, 43.89563, 42.27739, 42.38356, 42.49554, 42.36734, 42.62734, 42.64414, 42.29796, 42.60743, 43.18852, 43.28082, 42.32926, 42.28809, 42.45843, 43.03452, 42.55787, 42.85342, 42.46955, 42.52219, 42.64923, 42.42818, 42.46384, 42.3925, 42.54162, 42.40365, 42.44835, 42.29493, 42.42305, 42.39429, 42.36568, 42.21583, 42.34612, 42.36135, 42.5143, 42.2951, 42.31253, 42.72787, 42.43993, 42.56055, 42.37543, 42.35678, 42.3295, 42.43517, 42.02525, 41.99287, 42.19845, 42.37386, 42.3215, 42.21836, 42.313, 42.34032, 42.61715, 42.5284, 42.62634, 42.47953, 42.30378, 42.24627, 42.66537, 42.45659, 42.48674, 42.21565, 42.46819, 42.34296, 42.33204
0.25, 42.30316, 42.1543, 42.47834, 42.29499, 42.80307, 42.36828, 42.31213, 43.33152, 42.6189, 42.34111, 44.73711, 42.73141, 42.13351, 42.40369, 42.16449, 42.93964, 42.5004, 42.48666, 43.86442, 41.78974, 42.27771, 42.54268, 42.62736, 42.19825, 42.0373, 42.6447, 42.46923, 42.18737, 42.29239, 42.9468, 42.68684, 43.22578, 42.37654, 42.40636, 42.46648, 42.35275, 42.11886, 42.24988, 42.18727, 42.38847, 42.63649, 42.35413, 42.63593, 43.37569, 42.91578, 42.52502, 42.33907, 42.23322, 42.38996, 42.02462, 42.331, 42.52532, 42.63557, 42.42775, 42.38728, 42.30053, 42.35349, 42.92885, 42.62191, 42.50235, 42.34151, 42.6336, 43.69998, 42.23029, 42.38195, 42.5027, 42.3174, 42.58588, 42.64231, 42.32048, 42.58305, 43.08406, 43.10466, 42.26423, 42.30516, 42.51897, 43.04331, 42.48692, 42.815, 42.47508, 42.54179, 42.6446, 42.35634, 42.47435, 42.46233, 42.59775, 42.28788, 42.36022, 42.28189, 42.41893, 42.46297, 42.3735, 42.16788, 42.3165, 42.36331, 42.54568, 42.38265, 42.22797, 42.65331, 42.48602, 42.56146, 42.32125, 42.34951, 42.29269, 42.42446, 42.03537, 42.10045, 42.28901, 42.39086, 42.32645, 42.21231, 42.46017, 42.29789, 42.53718, 42.41794, 42.53602, 42.47521, 42.21628, 42.30173, 42.6102, 42.43049, 42.42921, 42.19811, 42.40144, 42.42538, 42.24085
0.3, 42.31204, 42.21159, 42.52764, 42.28336, 42.81082, 42.36341, 42.2322, 43.27036, 42.65852, 42.31796, 44.61948, 42.78923, 42.13743, 42.34095, 42.15488, 42.92597, 42.44123, 42.46186, 43.85881, 41.80118, 42.31973, 42.53643, 42.66486, 42.18955, 42.0393, 42.68663, 42.50858, 42.20363, 42.28591, 42.9413, 42.67731, 43.1544, 42.33691, 42.39017, 42.39167, 42.34094, 42.16584, 42.23806, 42.21314, 42.38635, 42.61776, 42.40018, 42.6423, 43.36306, 42.89566, 42.56748, 42.33749, 42.23154, 42.4622, 42.00729, 42.27807, 42.46482, 42.85227, 42.40541, 42.38248, 42.25462, 42.35762, 42.94654, 42.57883, 42.49621, 42.29089, 42.66788, 43.55229, 42.21027, 42.3885, 42.504, 42.33831, 42.57685, 42.63081, 42.30502, 42.56337, 43.1607, 43.2584, 42.25459, 42.30431, 42.58476, 42.88683, 42.48018, 42.81102, 42.44807, 42.51885, 42.57038, 42.36678, 42.38846, 42.47053, 42.6042, 42.29572, 42.43765, 42.33229, 42.74625, 42.3644, 42.37302, 42.20175, 42.35146, 42.3648, 42.48783, 42.40191, 42.24794, 42.60567, 42.45888, 42.46934, 42.29646, 42.33592, 42.3088, 42.46084, 42.00365, 42.11374, 42.32106, 42.39464, 42.24255, 42.14376, 42.46386, 42.34274, 42.65232, 42.56107, 42.62643, 42.45964, 42.21955, 42.33955, 42.62485, 42.32014, 42.5295, 42.25151, 42.42529, 42.47009, 42.21895
0.35, 42.26306, 42.13512, 42.48759, 42.38785, 42.7292, 42.30619, 42.17149, 43.31626, 42.97913, 42.22399, 44.60338, 42.74798, 42.09084, 42.35173, 42.15206, 42.97043, 42.50916, 42.47156, 43.69363, 41.78568, 42.26999, 42.50273, 42.67296, 42.17517, 41.95059, 42.75255, 42.53289, 42.69992, 42.22401, 42.86515, 42.65227, 43.18633, 42.27573, 42.43652, 42.40974, 42.36284, 42.15459, 42.30455, 42.22786, 42.34678, 42.61393, 42.40203, 42.63877, 43.37154, 43.02544, 42.65551, 42.27107, 42.15191, 42.49525, 42.07199, 42.25291, 44.08102, 43.10326, 42.34614, 42.35695, 42.11596, 42.44183, 42.86515, 42.62725, 42.51713, 42.46886, 42.6872, 43.30876, 42.28086, 42.37926, 42.4122, 42.45643, 42.61816, 42.55565, 42.39128, 42.54024, 43.16749, 43.82825, 42.3456, 42.26119, 42.5304, 42.76327, 42.57219, 42.58403, 42.33683, 42.49362, 42.73497, 42.46885, 42.64043, 42.43542, 42.61591, 42.40424, 42.46343, 42.30664, 42.99009, 42.33767, 42.28012, 42.22526, 42.33898, 42.44404, 42.55274, 42.36604, 42.26319, 42.60554, 42.47485, 42.48832, 42.47114, 42.33823, 42.33746, 42.59211, 42.09251, 41.91698, 42.31729, 42.37827, 42.27937, 42.22994, 42.31905, 42.38796, 42.67328, 42.4936, 42.61518, 42.43144, 42.3672, 42.32283, 42.64172, 42.39458, 42.40521, 42.23035, 42.4522, 42.46452, 42.32283
0.4, 42.24479, 42.10838, 42.53386, 42.36031, 42.72937, 42.32844, 42.17542, 43.28373, 43.09056, 42.28696, 44.44446, 42.77184, 42.12081, 42.35686, 42.2659, 42.97049, 42.49197, 42.46351, 43.62991, 41.76646, 42.21165, 42.52439, 42.57944, 42.27586, 41.90065, 42.73825, 42.53569, 42.67085, 42.34929, 42.88411, 42.6607, 43.09623, 42.3465, 42.42731, 42.38426, 42.36578, 42.18389, 42.24202, 42.1679, 42.30582, 42.64183, 42.42448, 42.6314, 43.36591, 43.01595, 42.60536, 42.37448, 42.45847, 42.38348, 42.04169, 42.29045, 44.79852, 42.90166, 42.35622, 42.4085, 42.5705, 42.58236, 42.73693, 42.69018, 42.49556, 42.41367, 42.69775, 43.15578, 42.22112, 42.32339, 42.46753, 42.22226, 42.44086, 42.52941, 42.37676, 42.54257, 43.21291, 43.62927, 42.3965, 42.24344, 42.578, 42.81691, 42.54621, 42.89489, 42.40213, 42.45586, 42.73965, 42.33025, 42.56561, 42.44376, 42.51449, 42.46153, 42.41721, 42.23693, 42.90007, 42.36169, 42.33845, 42.24253, 42.36583, 42.40931, 42.56956, 42.31553, 42.25512, 42.63597, 42.52859, 42.41212, 42.44572, 42.35575, 42.35675, 42.50906, 42.05555, 42.00788, 42.34779, 42.40161, 42.28401, 42.22582, 42.39589, 42.49648, 42.63447, 42.39701, 42.54114, 42.50405, 42.20896, 42.26476, 42.75015, 42.37279, 42.49251, 42.23185, 42.40404, 42.43328, 42.34878
0.45, 42.18053, 42.12254, 42.50481, 42.36189, 42.73736, 42.33838, 42.22576, 43.2447, 42.97636, 42.30884, 44.31675, 42.77068, 42.09757, 42.32565, 42.16293, 42.96022, 42.44648, 42.45417, 43.52225, 41.77837, 42.2222, 42.55582, 42.55851, 42.20007, 41.95943, 42.73501, 42.54228, 42.5132, 42.26543, 42.8784, 42.66455, 43.0608, 42.24718, 42.37606, 42.39876, 42.38478, 42.16244, 42.26054, 42.25248, 42.31654, 42.60599, 42.43386, 42.6089, 43.28593, 42.9434, 42.62105, 42.31246, 42.40652, 42.44308, 42.05602, 42.29606, 44.44949, 42.83477, 42.33551, 42.37322, 42.31405, 42.44225, 42.66914, 42.62726, 42.51554, 42.32705, 42.63715, 43.09344, 42.2447, 42.36485, 42.39985, 42.36892, 42.50013, 42.57105, 42.41068, 42.57644, 43.13054, 43.38942, 42.34846, 42.22664, 42.48212, 43.01652, 42.49393, 42.84703, 42.34839, 42.46536, 42.62975, 42.42887, 42.56252, 42.41031, 42.52311, 42.4449, 42.3948, 42.26826, 42.82043, 42.42736, 42.3041, 42.17092, 42.27604, 42.39376, 42.58993, 42.41779, 42.18821, 42.55611, 42.45026, 42.44955, 42.33688, 42.39246, 42.29255, 42.35433, 41.98976, 42.00653, 42.40372, 42.44206, 42.34397, 42.18361, 42.35604, 42.39679, 42.68954, 42.37637, 42.59492, 42.52019, 42.30326, 42.27041, 42.61551, 42.4836, 42.55695, 42.26354, 42.44115, 42.42309, 42.3101
0.5, 42.231, 42.11715, 42.54872, 42.32928, 42.69571, 42.37078, 42.15384, 43.27011, 42.81944, 42.28897, 44.27248, 42.77197, 42.06315, 42.37054, 42.18156, 43.00795, 42.42089, 42.473, 43.48639, 41.88625, 42.23401, 42.5089, 42.58266, 42.17901, 41.91405, 42.70276, 42.5246, 42.44501, 42.24789, 42.88229, 42.69285, 43.05715, 42.27352, 42.43336, 42.44295, 42.36477, 42.12259, 42.23778, 42.22482, 42.34855, 42.65551, 42.36593, 42.57846, 43.32281, 42.86128, 42.5481, 42.34566, 42.33974, 42.46063, 42.02098, 42.27757, 44.19048, 42.75594, 42.36219, 42.36695, 42.25996, 42.44757, 42.66525, 42.60461, 42.51207, 42.41383, 42.64286, 43.04615, 42.21847, 42.38396, 42.47886, 42.26392, 42.52357, 42.4944, 42.33152, 42.55216, 43.01507, 43.20965, 42.32023, 42.2374, 42.59509, 43.16484, 42.55016, 42.69762, 42.32658, 42.43399, 42.71861, 42.4061, 42.45277, 42.3856, 42.569, 42.32006, 42.38658, 42.21297, 42.73008, 42.32343, 42.29407, 42.23804, 42.28016, 42.39226, 42.58473, 42.5438, 42.184, 42.55577, 42.41283, 42.32885, 42.28609, 42.26617, 42.45842, 42.56047, 42.06819, 41.9353, 42.23869, 42.35692, 42.31219, 42.22231, 42.36185, 42.36085, 42.6299, 42.43554, 42.65251, 42.33264, 42.23079, 42.1899, 42.67582, 42.34112, 42.41599, 42.20484, 42.45275, 42.45369, 42.2652
0.55, 42.1981, 42.13171, 42.55362, 42.33712, 42.72939, 42.35137, 42.12362, 43.27892, 42.84501, 42.31329, 44.17818, 42.75042, 42.0966, 42.37773, 42.21706, 42.94771, 42.38531, 42.41977, 43.45422, 41.73045, 42.28379, 42.49953, 42.55904, 42.17836, 41.92493, 42.6722, 42.53429, 42.36226, 42.2844, 42.88165, 42.67437, 43.01881, 42.33314, 42.4364, 42.40586, 42.34022, 42.10269, 42.23658, 42.18874, 42.26785, 42.60791, 42.39111, 42.64017, 43.29628, 42.87928, 42.51847, 42.31826, 42.28237, 42.40262, 42.06518, 42.27094, 44.03868, 42.7119, 42.35059, 42.38862, 42.25858, 42.42887, 42.58424, 42.62561, 42.49414, 42.36262, 42.60962, 43.00418, 42.19224, 42.36513, 42.40616, 42.29193, 42.57476, 42.47718, 42.29011, 42.54305, 42.95936, 43.05421, 42.29316, 42.24555, 42.46483, 43.21057, 42.50506, 42.86087, 42.37343, 42.40781, 42.69983, 42.37169, 42.48746, 42.43137, 42.53014, 42.35733, 42.38243, 42.25294, 42.74583, 42.38554, 42.22492, 42.24435, 42.34508, 42.43346, 42.54529, 42.45995, 42.25598, 42.5148, 42.44364, 42.45775, 42.36425, 42.35142, 42.33473, 42.50062, 42.015, 41.98502, 42.2955, 42.39389, 42.36785, 42.21584, 42.42863, 42.4023, 42.61985, 42.4433, 42.53512, 42.4762, 42.21156, 42.34097, 42.65672, 42.42495, 42.48093, 42.21402, 42.44494, 42.42774, 42.36419
0.6, 42.15822, 42.24573, 42.37298, 42.35537, 42.95293, 42.32307, 42.07101, 43.29697, 42.89956, 42.18246, 42.85859, 42.92791, 41.99885, 42.33854, 44.54523, 42.80962, 42.51761, 42.61493, 42.77376, 41.84096, 42.35889, 42.64433, 43.16013, 42.25571, 42.20476, 42.82193, 42.50768, 43.03217, 42.49418, 43.02023, 42.77747, 42.88819, 42.2707, 42.51976, 42.91368, 42.48656, 42.54572, 42.3077, 42.33386, 42.30062, 42.86544, 42.27287, 42.73949, 42.70767, 42.30188, 42.5232, 42.45492, 42.2711, 42.47541, 42.10306, 42.40787, 43.65055, 42.80101, 42.42665, 42.36355, 42.40006, 42.55031, 42.32416, 42.58771, 42.52798, 42.31543, 43.17082, 42.61093, 42.35412, 43.0419, 42.45416, 42.3476, 42.56229, 42.53504, 42.39446, 42.89405, 42.57535, 42.61147, 42.37069, 42.40615, 42.27469, 42.49313, 42.49722, 42.37558, 42.30033, 42.41508, 42.40623, 42.32033, 42.48882, 42.17476, 42.97691, 42.3603, 42.40552, 42.25532, 42.41839, 42.39823, 42.23963, 42.35643, 42.28957, 42.45, 42.37207, 42.35857, 42.42281, 42.48177, 42.32378, 42.43513, 42.28881, 42.43653, 42.41312, 42.67602, 42.17052, 42.16644, 42.2269, 42.58998, 42.31404, 42.29206, 42.47916, 42.37379, 42.52048, 42.56528, 42.81859, 42.52664, 42.19933, 42.25217, 42.42777, 42.36292, 42.40263, 42.22308, 42.38812, 42.56364, 42.35263
0.65, 42.21578, 42.12988, 42.51183, 42.34318, 42.72796, 42.37554, 42.15988, 43.28774, 42.80957, 42.33349, 44.08611, 42.80682, 42.4326, 42.38368, 42.24215, 43.04879, 42.71672, 42.55687, 43.39935, 41.79066, 42.20663, 42.50683, 42.51575, 42.23051, 41.88142, 42.67023, 42.51196, 42.29233, 42.27419, 42.87804, 42.70435, 43.05698, 42.3508, 42.43363, 42.3856, 42.36776, 42.16107, 42.24482, 42.2263, 42.33395, 42.63152, 42.37137, 42.67505, 43.24818, 42.84245, 42.56916, 42.35125, 42.20944, 42.342, 42.00215, 42.21144, 43.80325, 42.82727, 42.30955, 42.35418, 42.34146, 42.47089, 42.59312, 42.59248, 42.45455, 42.36049, 42.62314, 42.9193, 42.20886, 42.29158, 42.49032, 42.25752, 42.46506, 42.50504, 42.32289, 42.52333, 42.94116, 42.94778, 42.30167, 42.27629, 42.54915, 43.10664, 42.5353, 42.79909, 42.40939, 42.41051, 42.63918, 42.40598, 42.50073, 42.44693, 42.48705, 42.38237, 42.38559, 42.31919, 42.66372, 42.38119, 42.34358, 42.3036, 42.36038, 42.3679, 42.54411, 42.42658, 42.16299, 42.50681, 42.39041, 42.44794, 42.40494, 42.34177, 42.30491, 42.48687, 42.05609, 42.06345, 42.46226, 42.33318, 42.33665, 42.24905, 42.46706, 42.36291, 42.69634, 42.44461, 42.60507, 42.44711, 42.16862, 42.25203, 42.6017, 42.34337, 42.50129, 42.24523, 42.42351, 42.43933, 42.27579
0.7, 42.30889, 42.22056, 42.46654, 42.33563, 42.73205, 42.39296, 42.16987, 43.2799, 42.79166, 42.26051, 43.99454, 42.75613, 42.31634, 42.3795, 42.18134, 42.97876, 43.00797, 42.48815, 43.39285, 41.81856, 42.26559, 42.49852, 42.51868, 42.1998, 41.94872, 42.72638, 42.52633, 42.34727, 42.22107, 42.90308, 42.62832, 43.04992, 42.29898, 42.43793, 42.4482, 42.38045, 42.12345, 42.29956, 42.34085, 42.3405, 42.62304, 42.38103, 42.61096, 43.23948, 42.77274, 42.5125, 42.35405, 42.228, 42.46068, 42.02772, 42.26088, 43.70823, 42.82275, 42.2951, 42.33537, 42.26476, 42.4345, 42.61891, 42.62453, 42.47144, 42.4081, 42.57827, 42.86142, 42.23931, 42.32508, 42.4623, 42.38474, 42.5513, 42.50938, 42.32226, 42.55024, 42.92513, 42.84539, 42.23744, 42.28313, 42.44131, 43.05626, 42.56805, 42.86327, 42.43455, 42.43369, 42.62161, 42.39527, 42.38505, 42.38448, 42.54827, 42.28446, 42.42605, 42.3243, 42.5997, 42.3931, 42.30591, 42.25256, 42.26893, 42.40379, 42.49057, 42.40219, 42.26944, 42.51216, 42.44112, 42.46373, 42.25826, 42.32891, 42.35242, 42.49385, 42.03237, 41.99615, 42.26075, 42.36837, 42.23617, 42.15933, 42.3872, 42.29861, 42.58207, 42.48213, 42.62399, 42.3884, 42.26097, 42.33078, 42.6533, 42.42195, 42.51355, 42.2396, 42.44804, 42.37434, 42.28394
0.75, 42.2357, 42.13791, 42.53438, 42.33868, 42.65749, 42.38157, 42.2276, 43.26519, 42.7347, 42.32531, 43.94442, 42.71476, 42.30123, 42.38671, 42.22182, 42.91788, 42.7782, 42.48511, 43.42579, 41.74398, 42.23623, 42.49214, 42.5075, 42.1918, 41.94865, 42.64248, 42.5206, 42.24577, 42.32304, 42.89113, 42.68288, 42.98801, 42.32499, 42.40406, 42.42669, 42.3796, 42.17283, 42.2225, 42.2747, 42.34713, 42.61662, 42.41586, 42.63296, 43.14872, 42.74748, 42.49823, 42.42151, 42.50639, 42.40997, 42.01307, 42.27985, 43.54898, 42.76086, 42.88971, 42.37052, 42.25394, 42.40925, 42.56045, 42.59614, 42.56055, 42.37711, 42.60131, 42.86436, 42.15294, 42.52467, 42.38483, 42.28911, 42.49062, 42.49727, 42.34104, 42.58447, 42.82296, 42.75832, 42.21777, 42.29926, 42.52846, 42.99589, 42.47783, 42.84501, 42.48813, 42.42101, 42.66153, 42.44727, 42.53937, 42.44144, 42.48236, 42.42715, 42.40921, 42.26978, 42.67122, 42.42297, 42.37095, 42.17458, 42.41988, 42.38538, 42.48115, 42.45709, 42.20704, 42.50661, 42.47308, 42.44193, 42.32745, 42.34081, 42.27029, 42.44864, 41.99767, 42.03194, 42.36433, 42.34892, 42.36568, 42.28381, 42.39414, 42.44462, 42.60791, 42.4277, 42.62777, 42.53384, 42.19822, 42.36066, 42.65717, 42.39589, 42.4975, 42.22625, 42.42965, 42.38628, 42.3007
0.8, 42.30696, 42.17816, 42.56439, 42.36754, 42.65607, 42.34062, 42.16238, 43.34189, 42.82531, 42.3764, 43.90217, 42.78579, 42.29716, 42.40764, 42.26344, 42.98624, 42.62891, 42.51846, 43.33038, 41.80738, 42.28608, 42.50795, 42.46568, 42.21347, 41.90458, 42.69421, 42.56671, 42.25657, 42.36529, 42.8655, 42.6924, 43.0084, 42.32137, 42.45056, 42.43068, 42.3426, 42.16726, 42.24718, 42.29884, 42.35643, 42.62354, 42.42118, 42.72062, 43.1728, 42.78739, 42.55616, 42.41999, 42.70009, 42.35273, 42.04726, 42.30915, 43.42012, 43.35414, 42.76193, 42.367, 42.37563, 42.43431, 42.66901, 42.62907, 42.47811, 42.31897, 42.59946, 42.85892, 42.15211, 42.38435, 42.51557, 42.36544, 42.51086, 42.48172, 42.37292, 42.5469, 42.88579, 42.68377, 42.27338, 42.37428, 42.50088, 42.92657, 42.58737, 42.67043, 42.46718, 42.42592, 42.67169, 42.43123, 42.55618, 42.6439, 42.49397, 42.34631, 42.32365, 42.30844, 42.57763, 42.3425, 42.36156, 42.19291, 42.41483, 42.40871, 42.46658, 42.46904, 42.19052, 42.52826, 42.42881, 42.50279, 42.5301, 42.29411, 42.36488, 42.53706, 41.99264, 42.10711, 42.2356, 42.45959, 42.22785, 42.26752, 42.43787, 42.36119, 42.62548, 42.46022, 42.65172, 42.4776, 42.21825, 42.31149, 42.68163, 42.37583, 42.43527, 42.2991, 42.49993, 42.41265, 42.3112
